algorithm,n_weapons,n_targets,value,time_sec,iterations,extra,category,instance_id,instance_file
GA_Modified,30,20,78.41171688000836,5.007647199992789,178,improvement_pct=0.0000,small_rich,15,instance_015.json
MMR_Original,30,20,68.2770881038922,0.0009929999941959977,30,,small_rich,16,instance_016.json
MMR_Modified,30,20,67.10249109307054,0.013754899991909042,4,improvement_pct=1.7203,small_rich,16,instance_016.json
GA_Original,30,20,81.6869927689932,5.011377799994079,511,,small_rich,16,instance_016.json
GA_Modified,30,20,67.41935626868596,5.002628400019603,398,improvement_pct=1.2563,small_rich,16,instance_016.json
MMR_Original,30,20,67.2885843129758,0.0012083000037819147,30,,small_rich,17,instance_017.json
MMR_Modified,30,20,62.30937597741992,0.0072355000011157244,5,improvement_pct=7.3998,small_rich,17,instance_017.json
GA_Original,30,20,77.18999257918057,5.004185800004052,421,,small_rich,17,instance_017.json
GA_Modified,30,20,64.79969852762785,5.005519100028323,199,improvement_pct=3.6988,small_rich,17,instance_017.json
MMR_Original,30,20,67.70851651770136,0.001062600000295788,30,,small_rich,18,instance_018.json
MMR_Modified,30,20,64.13122891923078,0.006653999997070059,5,improvement_pct=5.2834,small_rich,18,instance_018.json
GA_Original,30,20,86.26972417880673,5.010832300002221,459,,small_rich,18,instance_018.json
GA_Modified,30,20,66.23133555050599,5.001777099998435,474,improvement_pct=2.1817,small_rich,18,instance_018.json
MMR_Original,30,20,77.6333593073834,0.001348999998299405,30,,small_rich,19,instance_019.json
MMR_Modified,30,20,77.6333593073834,0.005121800000779331,2,improvement_pct=0.0000,small_rich,19,instance_019.json
GA_Original,30,20,88.77919345467411,5.001204500003951,2447,,small_rich,19,instance_019.json
GA_Modified,30,20,77.6333593073834,5.003264600003604,1407,improvement_pct=0.0000,small_rich,19,instance_019.json
MMR_Original,30,20,82.52344994251203,0.002140600001439452,30,,small_rich,20,instance_020.json
MMR_Modified,30,20,81.38588966138352,0.003536399977747351,4,improvement_pct=1.3785,small_rich,20,instance_020.json
GA_Original,30,20,90.75012553599974,5.001018400012981,1812,,small_rich,20,instance_020.json
GA_Modified,30,20,81.33750969931813,5.000872799981153,1306,improvement_pct=1.4371,small_rich,20,instance_020.json
MMR_Original,100,100,636.5481997743262,0.05954109999584034,100,,medium_balanced,1,instance_001.json
MMR_Modified,100,100,633.547278705815,0.12507660000119358,4,improvement_pct=0.4714,medium_balanced,1,instance_001.json
GA_Original,100,100,1008.7492910725078,20.001395500003127,672,,medium_balanced,1,instance_001.json
GA_Modified,100,100,636.5481997743262,20.02496790001169,695,improvement_pct=0.0000,medium_balanced,1,instance_001.json
MMR_Original,100,100,607.259035800912,0.10259200001019053,100,,medium_balanced,2,instance_002.json
MMR_Modified,100,100,604.5839242301909,0.13383509998675436,4,improvement_pct=0.4405,medium_balanced,2,instance_002.json
GA_Original,100,100,973.5095492695443,20.02298380000866,774,,medium_balanced,2,instance_002.json
GA_Modified,100,100,607.259035800912,20.013419499999145,686,improvement_pct=0.0000,medium_balanced,2,instance_002.json
MMR_Original,100,100,666.1472354173801,0.10591139999451116,100,,medium_balanced,3,instance_003.json
MMR_Modified,100,100,660.8836707477902,0.13774679999914952,4,improvement_pct=0.7902,medium_balanced,3,instance_003.json
GA_Original,100,100,1072.4214877924194,20.00754869999946,803,,medium_balanced,3,instance_003.json
GA_Modified,100,100,666.1472354173801,20.008403599989833,1716,improvement_pct=0.0000,medium_balanced,3,instance_003.json
MMR_Original,100,100,623.7658286053123,0.04319599998416379,100,,medium_balanced,4,instance_004.json
MMR_Modified,100,100,620.3572335832067,0.06661499998881482,4,improvement_pct=0.5465,medium_balanced,4,instance_004.json
GA_Original,100,100,984.4050677670615,20.00116420001723,1058,,medium_balanced,4,instance_004.json
GA_Modified,100,100,623.7658286053123,20.01298559998395,694,improvement_pct=0.0000,medium_balanced,4,instance_004.json
MMR_Original,100,100,648.4772169073203,0.06876590001047589,100,,medium_balanced,5,instance_005.json
MMR_Modified,100,100,647.4943391487933,0.15655459999106824,4,improvement_pct=0.1516,medium_balanced,5,instance_005.json
GA_Original,100,100,1021.004620020967,20.00925059997826,804,,medium_balanced,5,instance_005.json
GA_Modified,100,100,648.4772169073203,20.005203500011703,759,improvement_pct=0.0000,medium_balanced,5,instance_005.json
MMR_Original,100,100,620.4089663900895,0.06687370000872761,100,,medium_balanced,6,instance_006.json
MMR_Modified,100,100,617.0650025535815,0.11780949999229051,4,improvement_pct=0.5390,medium_balanced,6,instance_006.json
GA_Original,100,100,948.8188555025393,20.00443830000586,608,,medium_balanced,6,instance_006.json
GA_Modified,100,100,620.4089663900895,20.009078300005058,660,improvement_pct=0.0000,medium_balanced,6,instance_006.json
MMR_Original,100,100,605.2272056086069,0.06960049999179319,100,,medium_balanced,7,instance_007.json
MMR_Modified,100,100,599.0656569237069,0.17815030002384447,4,improvement_pct=1.0181,medium_balanced,7,instance_007.json
GA_Original,100,100,940.8739927091091,20.032276300014928,766,,medium_balanced,7,instance_007.json
